baralho,id,carta,tag,peso_carta,peso_tag,peso_total,media,mediana,moda,moda_pct,desvio,p10,p90,pct_5_primeiras,pct_5_ultimas,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30,pos_31,pos_32,pos_33,pos_34,pos_35,pos_36,pos_37,pos_38,pos_39,pos_40,pos_41,pos_42,pos_43,pos_44
"Baralho da Ousadia","52","Chupe o polegar do seu parceiro como se fosse um pirulito gostoso.","Provocação",-0.04,-0.15,-0.19,20.14,21,25,8.00,12.92,4,38,20.00,4.00,1,2,2,2,3,3,1,1,0,0,2,1,1,0,1,1,2,1,0,1,1,0,1,1,4,2,0,0,0,3,0,1,0,2,2,2,0,2,2,0,1,0,1,0
"Baralho da Ousadia","19","Faça um elogio sincero para o corpo do seu parceiro.","Provocação",-0.2,-0.15,-0.35,20.18,19,11,8.00,12.08,5,36,12.00,2.00,0,3,2,0,1,0,2,0,3,3,4,1,3,0,1,1,0,1,0,1,2,1,0,0,1,1,1,1,2,1,1,0,1,2,4,1,1,3,0,1,0,0,0,0
"Baralho da Ousadia","11","Escolha três partes do seu corpo para seu parceiro tocar e beijar.","Beijo",0,-0.1,-0.10,20.22,19,33,12.00,12.34,4,34,16.00,8.00,1,1,2,2,2,1,1,1,3,0,1,2,1,2,1,1,2,1,0,1,0,2,1,0,3,0,0,2,0,3,1,0,6,1,0,0,1,0,0,1,0,1,1,1
"Baralho da Ousadia","41","Coloque bebida no corpo do seu parceiro e lamba.","Provocação",0.05,-0.15,-0.10,20.46,19,32,8.00,13.39,4,40,18.00,12.00,2,3,0,2,2,1,2,2,0,0,1,1,2,2,2,2,0,1,2,0,2,0,1,0,0,0,2,2,0,0,1,4,0,1,0,0,2,1,1,2,2,1,1,0
"Baralho da Ousadia","53","Pegue um cubo de gelo e passe-o para cima e para baixo no corpo do seu parceiro até que derreta.","Provocação",0.02,-0.15,-0.13,20.76,23,29,8.00,11.83,4,36,12.00,2.00,3,1,1,1,0,2,2,0,1,1,3,0,1,1,1,1,2,0,3,0,0,0,3,0,3,1,1,1,4,1,2,0,0,3,1,2,1,0,2,0,0,1,0,0
"Baralho da Ousadia","48","Beije seu parceiro como se estivesse em um filme em câmera lenta.","Beijo",-0.12,-0.1,-0.22,20.80,21,1,6.00,11.78,3,36,16.00,4.00,3,0,3,0,2,1,0,0,2,2,0,0,0,2,1,0,3,1,2,2,2,1,2,2,1,3,0,2,1,0,0,2,1,0,2,2,1,1,1,0,0,1,1,0
"Baralho da Ousadia","28","Beije a barriga do seu parceiro.","Beijo",-0.07,-0.1,-0.17,21.02,19,5,6.00,12.48,6,39,10.00,8.00,0,1,0,1,3,2,2,2,2,0,2,1,1,2,1,2,2,1,2,1,0,1,1,1,1,0,1,0,1,1,0,1,2,1,2,1,0,2,2,2,0,1,0,1
"Baralho da Ousadia","30","Chupe os mamilos do seu parceiro por pelo menos 2 minutos.","Beijo",0.1,-0.1,0.00,21.18,22,1,6.00,11.71,4,35,14.00,4.00,3,1,1,1,1,0,1,1,2,1,1,0,2,1,0,2,1,2,0,1,2,2,0,1,0,3,3,0,3,2,2,0,3,1,1,2,0,0,1,0,0,1,0,1
"Baralho da Ousadia","37","Acaricie as coxas do seu parceiro por 30 segundos.","Provocação",-0.08,-0.15,-0.23,21.50,21,17,8.00,11.62,7,38,8.00,8.00,1,0,2,1,0,1,1,3,1,0,0,2,2,0,0,3,4,1,2,0,3,2,1,2,1,2,0,1,1,2,0,0,1,2,0,1,0,2,1,0,0,1,2,1
"Baralho da Ousadia","40","Nos próximos dois minutos, você está no comando. Diga ao seu parceiro o que você quer que ele faça.","Domínio",-0.05,0,-0.05,21.56,20,4,6.00,12.62,5,41,14.00,12.00,1,1,0,3,2,0,2,1,2,1,1,1,0,0,0,3,2,3,2,1,1,1,0,0,1,2,3,0,1,2,3,0,0,1,0,1,1,0,1,0,1,1,2,2
"Baralho da Ousadia","5","Coloque uma venda nos olhos, estenda a língua e tente adivinhar qual parte do corpo ele encosta na sua língua.","Provocação",0.01,-0.15,-0.14,21.64,22,32,12.00,12.36,5,39,14.00,10.00,0,1,1,3,2,1,2,0,2,0,1,0,1,1,4,1,0,1,0,2,1,5,0,2,0,1,0,1,0,0,2,6,1,0,0,0,1,1,1,1,1,0,2,1
"Baralho da Ousadia","57","Beije seu parceiro sem tocá-lo.","Beijo",-0.13,-0.1,-0.23,21.64,20,6,8.00,13.11,6,39,8.00,10.00,3,0,0,0,1,4,2,1,1,1,2,0,1,2,2,1,1,1,1,2,1,0,1,2,0,0,1,2,2,1,0,0,0,1,2,1,2,1,2,0,1,1,2,1
"Baralho da Ousadia","29","Lamba seu parceiro, começando pelo pescoço até a borda da roupa íntima.","Provocação",0.06,-0.15,-0.09,22.06,23,29,8.00,11.72,7,38,8.00,10.00,0,0,1,3,0,0,2,2,1,1,2,2,3,0,0,1,2,3,0,1,0,1,0,2,2,2,1,1,4,1,0,0,0,2,0,1,2,2,0,2,3,0,0,0
"Baralho da Ousadia","17","Você tem que experimentar a roupa íntima dele na frente dele.","Provocação",0.09,-0.15,-0.06,22.40,22,34,8.00,13.25,5,39,14.00,8.00,0,3,0,1,3,1,2,1,0,1,1,3,1,2,1,0,1,0,0,1,3,0,2,2,0,0,0,0,2,1,0,1,0,4,1,4,2,0,2,0,1,0,0,3
"Baralho da Ousadia","62","Chupe a parte favorita do corpo do seu parceiro.","Beijo",0.06,-0.1,-0.04,22.78,24,25,10.00,11.56,8,39,0.00,10.00,0,0,0,0,0,1,4,2,3,3,0,1,0,3,0,1,0,0,2,3,1,0,1,0,5,0,1,4,0,0,1,2,1,1,0,2,2,0,1,1,2,0,1,1
"Baralho da Ousadia","76","Jogue os próximos 2 turnos em topless.","Despir",0.09,0.1,0.19,23.18,21,16,8.00,13.14,6,41,8.00,20.00,1,0,1,0,2,2,2,1,1,0,0,1,1,2,3,4,1,1,0,1,2,1,1,2,1,0,0,0,1,1,1,0,1,1,0,0,0,2,2,3,3,1,3,0
"Baralho da Ousadia","65","Deixe seu parceiro dar um comando simples para você seguir por 1 minuto.","Domínio",-0.12,0,-0.12,23.80,26,32,8.00,11.69,8,36,4.00,6.00,0,1,0,1,0,2,1,2,2,0,2,2,0,2,1,0,0,1,2,1,0,1,1,1,2,2,3,0,0,0,1,4,1,3,2,4,0,0,2,0,1,0,1,1
"Baralho da Ousadia","31","Mostre seus seios.","Despir",0.03,0.1,0.13,24.04,24,33,10.00,11.93,8,39,6.00,10.00,0,1,1,0,1,2,0,1,3,1,0,0,2,1,0,1,0,3,2,2,1,1,2,0,1,0,4,0,0,1,2,0,5,1,2,2,1,0,1,0,0,2,0,3
"Baralho da Ousadia","36","Estimule duas partes do seu parceiro ao mesmo tempo usando as mãos e a boca.","Provocação",0.13,-0.15,-0.02,24.10,25,33,8.00,12.70,6,40,8.00,12.00,1,2,1,0,0,2,1,2,0,1,0,1,2,0,2,1,0,0,2,2,1,1,0,3,1,2,0,1,0,2,0,1,4,0,4,0,1,0,3,2,0,1,2,1
"Baralho da Ousadia","69","Lamba todas as partes do corpo do seu parceiro.","Beijo",0.13,-0.1,0.03,24.10,24,3,8.00,14.26,3,43,20.00,20.00,1,2,4,1,2,0,0,0,0,0,2,1,1,1,1,1,1,1,0,0,3,0,3,1,1,1,0,0,0,0,1,1,1,3,1,3,1,1,0,2,1,1,3,3
"Baralho da Ousadia","39","Tente lamber seus próprios mamilos.","Despir",0.02,0.1,0.12,24.32,24,29,8.00,11.41,10,41,4.00,14.00,0,0,0,1,1,0,0,2,1,3,3,0,0,1,0,3,1,1,2,2,0,3,1,0,1,0,0,3,4,0,3,2,0,3,0,0,1,1,0,1,2,0,2,2
"Baralho da Ousadia","64","Beije todo o corpo do seu parceiro nu na frente do espelho.","Íntimo",0.17,0.15,0.32,24.50,24,30,10.00,12.41,8,42,8.00,16.00,1,0,1,1,1,0,0,2,2,0,1,1,3,0,0,0,2,2,2,1,2,1,2,1,1,0,1,2,0,5,0,0,0,0,2,0,3,2,0,1,1,3,0,3
"Baralho da Ousadia","25","Esfregue os mamilos até ficarem duros. Seu parceiro não tem permissão para te ajudar.","Provocação",0.11,-0.15,-0.04,24.58,27,37,10.00,12.25,7,39,8.00,10.00,0,2,1,0,1,1,2,0,1,0,2,0,0,2,1,3,1,0,1,3,0,0,1,2,1,0,0,0,4,2,2,1,1,0,0,0,5,4,1,3,0,2,0,0
"Baralho da Ousadia","35","Tire apenas o sutiã e entregue-o nas mãos do seu parceiro, sem tirar a camisa.","Despir",-0.07,0.1,0.03,24.58,27,31,10.00,12.14,8,40,4.00,12.00,2,0,0,0,0,2,1,2,1,1,0,2,1,0,2,0,1,3,1,1,1,0,0,3,1,0,0,1,1,2,5,3,0,0,2,1,1,2,1,1,2,1,0,2
"Baralho da Ousadia","78","Sente-se nos órgãos genitais do seu parceiro e se esfregue, você não pode usar as mãos. Por duas rodadas","Íntimo",-0.1,0.15,0.05,24.84,24,42,8.00,13.60,7,42,6.00,22.00,0,2,1,0,0,1,2,2,0,0,2,1,2,2,3,0,0,3,0,0,1,2,0,2,1,1,1,0,0,1,1,1,0,0,1,1,2,1,2,1,1,4,2,3
"Baralho da Ousadia","56","Amarre a mão do seu parceiro e escolha uma parte do seu corpo para beijar.","Domínio",0.12,0,0.12,25.12,28,44,8.00,12.31,7,41,8.00,16.00,1,1,0,2,0,1,2,0,0,1,3,0,2,0,1,0,0,0,0,1,1,0,2,1,2,2,2,3,3,3,2,1,0,0,3,0,1,0,1,2,2,0,0,4
"Baralho da Ousadia","47","Aperte lentamente a virilha do seu parceiro.","Provocação",0.14,-0.15,-0.01,25.66,28,34,8.00,12.31,7,42,6.00,18.00,0,1,2,0,0,2,1,1,0,0,0,3,1,1,1,2,0,1,0,0,1,1,2,1,0,2,1,3,1,1,0,2,3,4,1,0,2,0,0,1,2,3,3,0
"Baralho da Ousadia","33","Faça um pequeno striptease, mas apenas da cintura para cima.","Despir",0.04,0.1,0.14,25.72,27,29,12.00,11.33,9,42,4.00,16.00,1,0,0,1,0,2,0,1,1,1,0,1,0,1,0,1,0,1,3,3,2,1,1,0,1,3,1,0,6,1,2,2,0,1,1,1,0,1,1,2,0,2,4,0
"Baralho da Ousadia","12","Tire uma das peças de roupa.","Despir",-0.05,0.1,0.05,26.42,27,40,8.00,11.61,10,40,2.00,18.00,1,0,0,0,0,1,0,2,0,2,1,0,2,0,2,1,0,2,1,0,2,3,1,2,0,2,2,1,0,1,1,1,1,2,1,3,2,1,0,4,0,0,2,3
"Baralho da Ousadia","75","Dancem nus com seu parceiro.","Íntimo",0.12,0.15,0.27,28.30,30,41,10.00,12.24,11,42,6.00,26.00,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,3,0,2,1,1,0,1,2,1,2,0,1,2,1,0,1,1,2,0,1,2,3,1,1,5,4,1,2
"Baralho da Ousadia","63","Faça um boquete no seu parceiro.","Íntimo",0.1,0.15,0.25,28.36,30,43,10.00,12.37,12,43,8.00,28.00,2,0,1,0,1,0,0,0,1,0,0,1,0,1,2,2,1,0,0,1,1,1,1,1,1,0,1,3,1,4,1,2,1,3,0,0,0,1,1,2,1,4,5,2
"Baralho da Ousadia","79","Sente-se nos órgãos genitais do seu parceiro e se esfregue, você não pode usar as mãos. Por duas rodadas","Íntimo",0.19,0.15,0.34,28.70,30,40,10.00,11.13,12,41,2.00,24.00,0,0,1,0,0,0,1,1,0,0,1,3,1,0,1,1,1,0,0,0,0,0,4,1,3,0,2,3,0,2,0,2,3,0,0,3,1,1,2,5,2,2,2,1
"Baralho da Ousadia","61","Deixe seu parceiro observar você se masturbar por dois minuto.","Íntimo",0.2,0.15,0.35,29.22,31,22,12.00,11.43,14,43,0.00,28.00,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,2,0,2,2,6,1,0,0,0,1,2,0,1,1,0,0,2,2,2,0,1,3,1,6,1,3,3
"Baralho da Ousadia","54","Tire uma foto sexy de nudez e envie para seu parceiro.","Despir",0.18,0.1,0.28,29.26,32,39,8.00,11.37,12,42,2.00,24.00,0,0,0,1,0,0,0,0,0,3,1,1,0,3,0,0,2,1,0,1,1,0,0,2,1,2,2,1,2,0,1,1,3,0,2,0,0,3,4,2,2,4,2,2
"Verdade ou Sacanagem","v5","Qual foi a melhor transa que já teve com seu amor?","Verdade",-0.11,-0.18,-0.29,11.40,10,2,8.00,7.56,3,23,28.00,0.00,1,4,4,3,2,1,2,3,3,3,4,0,2,3,2,2,2,0,1,1,1,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,,,,,,,
"Verdade ou Sacanagem","v14","Cite a primeira coisa que lhe vem à mente quando fala-se em sexo.","Verdade",-0.15,-0.18,-0.33,11.42,9,1,10.00,9.40,2,26,40.00,4.00,5,5,2,3,5,1,2,2,1,0,2,1,3,3,1,1,2,0,1,2,0,0,1,1,0,1,1,0,0,1,1,0,0,2,0,0,0,,,,,,,
"Verdade ou Sacanagem","v6","Qual foi o melhor oral que já teve do seu amor?","Verdade",-0.09,-0.18,-0.27,13.90,13,13,10.00,8.63,2,25,16.00,4.00,3,3,1,1,0,1,2,4,0,3,2,3,5,4,1,0,0,3,3,2,1,0,1,1,1,0,0,1,1,0,0,1,0,0,2,0,0,,,,,,,
"Verdade ou Sacanagem","v3","Diga o que mais gosta no corpo do seu amor.","Verdade",-0.17,-0.18,-0.35,14.76,14,1,10.00,10.54,2,31,28.00,4.00,5,3,2,2,2,2,3,1,0,1,0,2,1,2,1,1,0,2,1,0,4,3,0,2,0,0,3,0,0,1,3,1,1,1,0,0,0,,,,,,,
"Verdade ou Sacanagem","v4","Conte o que te deixa excitado.","Verdade",0,-0.18,-0.18,14.84,13,16,10.00,10.16,3,29,22.00,4.00,2,2,4,1,2,2,4,2,2,2,0,2,1,0,0,5,0,1,1,0,1,1,4,0,0,2,2,1,1,1,1,1,0,0,1,1,0,,,,,,,
"Verdade ou Sacanagem","v10","O que você mais gosta de ouvir durante o sexo?","Verdade",-0.04,-0.18,-0.22,14.88,12,22,8.00,10.11,3,32,20.00,8.00,2,2,2,3,1,2,1,3,3,2,2,3,2,1,1,0,2,0,2,0,1,4,1,1,1,1,0,1,0,0,0,2,1,0,0,3,0,,,,,,,
"Verdade ou Sacanagem","v7","O que você gostaria de inovar no sexo com seu amor?","Verdade",0.03,-0.18,-0.15,15.08,15,2,8.00,10.38,2,29,26.00,8.00,3,4,3,3,0,2,2,0,1,1,3,1,0,1,3,1,1,0,0,4,1,2,1,2,1,3,1,0,2,0,0,0,3,0,0,0,1,,,,,,,
"Verdade ou Sacanagem","v13","Qual posição lhe dá mais prazer?","Verdade",-0.08,-0.18,-0.26,15.48,16,1,10.00,9.91,2,29,20.00,4.00,5,1,1,1,2,4,1,2,1,1,1,0,2,2,1,1,1,1,3,1,4,0,1,0,3,1,1,2,3,1,0,0,0,2,0,0,0,,,,,,,
